incident_id,date,n_killed,n_deaths < 2,n_injured,n_guns_involved,,,"Guns>1, Deaths>2","Guns=1, Deaths>2","Guns=1, Deaths<=2","Guns>1, Deaths<=2",,,Occasions where number of guns>1,Occasions where number of deaths>2
95975,12/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
96037,09/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
96107,13/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
96129,09/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
96155,13/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
96204,14/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
96221,13/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
96227,13/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
96272,12/01/2014,1,TRUE,1,1,FALSE,,,,,,,,,
96286,11/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
96309,14/01/2014,0,TRUE,2,1,FALSE,,,,,,,,,
96315,14/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
96326,14/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
96328,14/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
96352,13/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
96375,13/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
96483,14/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
96487,12/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
96546,14/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
96568,15/01/2014,0,TRUE,1,4,FALSE,,,,,,,,,
96624,14/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
96635,14/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
96649,14/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
96652,14/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
96683,13/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
96709,15/01/2014,2,FALSE,0,1,FALSE,,,,,,,,,
96753,15/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
96780,14/01/2014,2,FALSE,0,1,FALSE,,,,,,,,,
96850,15/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
96916,08/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97001,16/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
97025,15/01/2014,0,TRUE,2,2,FALSE,,,,,,,,,
97105,16/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97127,11/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97134,15/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97179,16/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
97201,16/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
97209,15/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
97240,16/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
97284,16/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
97324,16/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
97326,16/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97365,16/01/2014,5,FALSE,0,1,FALSE,,,,,,,,,
97472,16/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
97478,16/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97507,14/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
97511,16/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97523,17/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97534,17/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
97551,15/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
97602,14/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
97653,16/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97661,12/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97687,17/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97709,17/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
97726,18/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
97770,16/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97900,14/01/2014,0,TRUE,2,1,FALSE,,,,,,,,,
97917,18/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
97949,16/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
97976,01/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
98004,18/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
98073,19/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98088,18/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
98107,19/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
98118,16/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98134,01/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
98204,19/01/2014,2,FALSE,0,1,FALSE,,,,,,,,,
98216,18/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
98256,19/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98261,19/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
98301,20/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
98311,20/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98314,19/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
98319,19/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98426,20/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98457,20/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98500,18/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98519,18/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
98525,20/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
98553,20/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
98590,21/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
98595,17/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98627,18/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98629,21/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98630,12/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98667,20/01/2014,2,FALSE,0,1,FALSE,,,,,,,,,
98687,20/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
98696,21/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
98703,20/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
98719,19/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
98735,19/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
98758,15/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
98774,19/01/2014,1,TRUE,2,1,FALSE,,,,,,,,,
98844,21/01/2014,1,TRUE,3,1,FALSE,,,,,,,,,
98923,16/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
98930,16/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99123,15/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
99165,21/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
99175,18/01/2014,1,TRUE,1,1,FALSE,,,,,,,,,
99182,19/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
99184,21/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99213,20/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
99227,22/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
99236,21/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99242,19/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99273,21/01/2014,2,FALSE,0,1,FALSE,,,,,,,,,
99298,21/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
99300,19/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99320,22/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99325,21/01/2014,1,TRUE,1,1,FALSE,,,,,,,,,
99358,21/01/2014,1,TRUE,1,1,FALSE,,,,,,,,,
99371,22/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99449,21/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99564,22/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
99566,22/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
99588,21/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99590,22/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99630,23/01/2014,3,FALSE,0,1,FALSE,,,,,,,,,
99674,21/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
99698,22/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99748,21/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
99764,17/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99831,23/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
99833,19/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
99888,22/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
99909,24/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
99921,23/01/2014,2,FALSE,0,1,FALSE,,,,,,,,,
99960,22/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
99970,23/01/2014,1,TRUE,1,1,FALSE,,,,,,,,,
100008,24/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
100010,23/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
100019,22/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
100069,22/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
100077,22/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
100107,23/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
100153,22/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
100161,23/01/2014,0,TRUE,0,2,FALSE,,,,,,,,,
100219,22/01/2014,0,TRUE,0,2,FALSE,,,,,,,,,
100284,03/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
100288,20/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
100405,21/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
100438,14/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
100475,25/01/2014,0,TRUE,2,1,FALSE,,,,,,,,,
100480,25/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
100589,26/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
100613,26/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
100672,25/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
100696,26/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
100706,20/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
100729,01/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
100793,26/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
100832,23/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
100883,25/01/2014,0,TRUE,2,1,FALSE,,,,,,,,,
100889,19/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
100916,26/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101006,26/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
101070,26/01/2014,2,FALSE,0,1,FALSE,,,,,,,,,
101187,27/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
101194,27/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
101206,27/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
101216,27/01/2014,2,FALSE,1,1,FALSE,,,,,,,,,
101256,26/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
101283,27/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
101301,27/01/2014,0,TRUE,4,1,FALSE,,,,,,,,,
101304,26/01/2014,0,TRUE,2,1,FALSE,,,,,,,,,
101317,25/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
101325,27/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
