name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
Alexis Sanchez,Arsenal,28,LW,Attacker,65,4329,12,17.1,264,Americas,Chile,0,4,1,1,0
Mesut Ozil,Arsenal,28,AM,Attacker,50,4395,9.5,5.6,167,EU,Germany,0,4,1,1,0
Petr Cech,Arsenal,35,GK,Goalkeeper,7,1529,5.5,5.9,134,EU,Czech Republic,0,6,1,1,0
Theo Walcott,Arsenal,28,RW,Attacker,20,2393,7.5,1.5,122,United Kingdom,United Kingdom,0,4,1,1,0
Laurent Koscielny,Arsenal,31,CB,Defence,22,912,6,0.7,121,EU,France,0,4,1,1,0
Hector Bellerin,Arsenal,22,RB,Defence,30,1675,6,13.7,119,EU,Spain,0,2,1,1,0
Olivier Giroud,Arsenal,30,CF,Attacker,22,2230,8.5,2.5,116,EU,France,0,4,1,1,0
Nacho Monreal,Arsenal,31,LB,Defence,13,555,5.5,4.7,115,EU,Spain,0,4,1,1,0
Shkodran Mustafi,Arsenal,25,CB,Defence,30,1877,5.5,4,90,EU,Germany,0,3,1,1,1
Alex Iwobi,Arsenal,21,LW,Attacker,10,1812,5.5,1,89,RoW,Nigeria,0,1,1,1,0
Granit Xhaka,Arsenal,24,DM,Midfield,35,1815,5.5,2,85,EU,Switzerland,0,2,1,1,0
Alex Oxlade-Chamberlain,Arsenal,23,RM,Midfield,22,1519,6,1.8,83,United Kingdom,United Kingdom,0,2,1,1,0
Jack Wilshere,Arsenal,25,CM,Midfield,18,1759,5.5,0,61,United Kingdom,United Kingdom,0,3,1,1,0
Aaron Ramsey,Arsenal,26,CM,Midfield,35,1040,7,5.1,56,United Kingdom,United Kingdom,0,3,1,1,0
Francis Coquelin,Arsenal,26,DM,Midfield,15,549,4.5,1.7,52,EU,France,0,3,1,1,0
Gabriel Paulista,Arsenal,26,CB,Defence,13,552,5,0.1,45,Americas,Brazil,0,3,1,1,0
Kieran Gibbs,Arsenal,27,LB,Defence,10,489,5,0.5,45,United Kingdom,United Kingdom,0,3,1,1,0
